corr,p_value,significant,correlation of,repo,Methods considered
0.1,1.63E-26,yes,introSLOC_with_revisions,commons-lang,modified at least once
0.21,9.07E-73,yes,introSLOC_with_revisions,cucumber-jvm,modified at least once
0.02,0.001297099,yes,introSLOC_with_revisions,docx4j,modified at least once
0.28,3.38E-82,yes,introSLOC_with_revisions,fastjson,modified at least once
0.06,0.003771805014,yes,introSLOC_with_revisions,gson,modified at least once
0.22,1.29E-282,yes,introSLOC_with_revisions,hibernate-search,modified at least once
0.12,1.85E-64,yes,introSLOC_with_revisions,javaparser,modified at least once
0.27,7.39E-222,yes,introSLOC_with_revisions,jgit,modified at least once
0.05,5.24E-05,yes,introSLOC_with_revisions,jna,modified at least once
0.17,6.59E-30,yes,introSLOC_with_revisions,junit4,modified at least once
0.18,8.75E-66,yes,introSLOC_with_revisions,junit5,modified at least once
0.05,4.89E-06,yes,introSLOC_with_revisions,mockito,modified at least once
0.18,2.83E-54,yes,introSLOC_with_revisions,okhttp,modified at least once
0.22,1.19E-262,yes,introSLOC_with_revisions,pmd,modified at least once
0.24,0,yes,introSLOC_with_revisions,spring-boot,modified at least once
0.3,4.92E-57,yes,introSLOC_with_revisions,titan,modified at least once
0.05,1.15E-19,yes,introSLOC_with_revisions,wicket,modified at least once
0.24,1.53E-56,yes,lastSLOC_with_bugs,antlr4,modified at least once
-0.06,3.89E-20,yes,lastSLOC_with_bugs,assertj-core,modified at least once
0.07,1.57E-06,yes,lastSLOC_with_bugs,astyanax,modified at least once
0.3,2.68E-67,yes,lastSLOC_with_bugs,atmosphere,modified at least once
0.2,8.50E-231,yes,lastSLOC_with_bugs,drill,modified at least once
0.23,2.90E-232,yes,lastSLOC_with_bugs,DSpace,modified at least once
0.35,8.54E-112,yes,lastSLOC_with_bugs,Essentials,modified at least once
0.22,0,yes,lastSLOC_with_bugs,flink,modified at least once
0.21,2.28E-26,yes,lastSLOC_with_bugs,flyway,modified at least once
0.18,5.22E-242,yes,lastSLOC_with_bugs,guava,modified at least once
0.19,2.62E-14,yes,lastSLOC_with_bugs,hawtio,modified at least once
0.26,9.01E-33,yes,lastSLOC_with_bugs,hector,modified at least once
0.17,0,yes,lastSLOC_with_bugs,hibernate-orm,modified at least once
0.2,4.15E-24,yes,lastSLOC_with_bugs,Hystrix,modified at least once
0.27,0,yes,lastSLOC_with_bugs,jetty.project,modified at least once
0.12,7.82E-44,yes,lastSLOC_with_bugs,logging-log4j2,modified at least once
0.13,7.30E-18,yes,lastSLOC_with_bugs,lombok,modified at least once
0.14,6.88E-55,yes,lastSLOC_with_bugs,mongo-java-driver,modified at least once
0.25,2.39E-110,yes,lastSLOC_with_bugs,mybatis-3,modified at least once
0.24,4.77E-283,yes,lastSLOC_with_bugs,netty,modified at least once
0.18,1.55E-102,yes,lastSLOC_with_bugs,openmrs-core,modified at least once
-0.04,0.03018473701,yes,lastSLOC_with_bugs,rabbitmq-java-client,modified at least once
-0.03,0.001270367457,yes,lastSLOC_with_bugs,RxJava,modified at least once
0.16,1.18E-279,yes,lastSLOC_with_bugs,sonarqube,modified at least once
0.04,2.93E-15,yes,lastSLOC_with_bugs,soot,modified at least once
0.13,0.005664765732,yes,lastSLOC_with_bugs,spark,modified at least once
0.12,2.99E-253,yes,lastSLOC_with_bugs,spring-framework,modified at least once
0.19,4.29E-24,yes,lastSLOC_with_bugs,swagger-core,modified at least once
0.13,1.20E-14,yes,lastSLOC_with_bugs,truth,modified at least once
0.28,9.13E-64,yes,lastSLOC_with_bugs,Twitter4J,modified at least once
0.15,3.68E-38,yes,lastSLOC_with_bugs,voldemort,modified at least once
0.23,1.75E-31,yes,lastSLOC_with_bugs,vraptor4,modified at least once
0.21,0,yes,lastSLOC_with_bugs,wildfly,modified at least once
0.15,5.72E-80,yes,lastSLOC_with_bugs,ant,modified at least once
0.18,1.55E-105,yes,lastSLOC_with_bugs,checkstyle,modified at least once
0.05,0.0009330034271,yes,lastSLOC_with_bugs,commons-io,modified at least once
0.12,3.06E-32,yes,lastSLOC_with_bugs,commons-lang,modified at least once
0.18,5.23E-45,yes,lastSLOC_with_bugs,cucumber-jvm,modified at least once
0.13,2.98E-136,yes,lastSLOC_with_bugs,docx4j,modified at least once
0.16,8.06E-28,yes,lastSLOC_with_bugs,fastjson,modified at least once
0.11,1.16E-06,yes,lastSLOC_with_bugs,gson,modified at least once
0.14,7.11E-92,yes,lastSLOC_with_bugs,hibernate-search,modified at least once
0.08,1.78E-23,yes,lastSLOC_with_bugs,javaparser,modified at least once
-0.07,9.83E-18,yes,lastSLOC_with_bugs,jgit,modified at least once
0.17,6.27E-31,yes,lastSLOC_with_bugs,jna,modified at least once
0.15,7.52E-20,yes,lastSLOC_with_bugs,junit4,modified at least once
0.14,3.58E-30,yes,lastSLOC_with_bugs,junit5,modified at least once
0.07,4.85E-10,yes,lastSLOC_with_bugs,mockito,modified at least once
0.26,6.26E-87,yes,lastSLOC_with_bugs,okhttp,modified at least once
0.18,5.77E-157,yes,lastSLOC_with_bugs,pmd,modified at least once
0.13,7.18E-113,yes,lastSLOC_with_bugs,spring-boot,modified at least once
0.27,6.47E-40,yes,lastSLOC_with_bugs,titan,modified at least once
0.07,1.73E-29,yes,lastSLOC_with_bugs,wicket,modified at least once
0.29,1.39E-97,yes,lastSLOC_with_revisions,antlr4,modified at least once
0.07,4.30E-29,yes,lastSLOC_with_revisions,assertj-core,modified at least once
0.13,2.99E-23,yes,lastSLOC_with_revisions,astyanax,modified at least once
0.34,9.30E-87,yes,lastSLOC_with_revisions,atmosphere,modified at least once
0.23,0,yes,lastSLOC_with_revisions,drill,modified at least once
0.28,0,yes,lastSLOC_with_revisions,DSpace,modified at least once
0.36,1.85E-138,yes,lastSLOC_with_revisions,Essentials,modified at least once
0.28,0,yes,lastSLOC_with_revisions,flink,modified at least once
0.26,3.08E-40,yes,lastSLOC_with_revisions,flyway,modified at least once
0.03,1.36E-07,yes,lastSLOC_with_revisions,guava,modified at least once
0.28,1.58E-31,yes,lastSLOC_with_revisions,hawtio,modified at least once
0.25,2.27E-35,yes,lastSLOC_with_revisions,hector,modified at least once
0.1,2.09E-132,yes,lastSLOC_with_revisions,hibernate-orm,modified at least once
0.29,1.83E-57,yes,lastSLOC_with_revisions,Hystrix,modified at least once
0.33,0,yes,lastSLOC_with_revisions,jetty.project,modified at least once
0.24,1.93E-202,yes,lastSLOC_with_revisions,logging-log4j2,modified at least once
0.22,1.19E-59,yes,lastSLOC_with_revisions,lombok,modified at least once
0.18,3.94E-116,yes,lastSLOC_with_revisions,mongo-java-driver,modified at least once
0.3,2.17E-171,yes,lastSLOC_with_revisions,mybatis-3,modified at least once
0.24,3.52E-291,yes,lastSLOC_with_revisions,netty,modified at least once
0.26,8.78E-272,yes,lastSLOC_with_revisions,openmrs-core,modified at least once
0.22,4.33E-44,yes,lastSLOC_with_revisions,rabbitmq-java-client,modified at least once
0.05,1.82E-09,yes,lastSLOC_with_revisions,RxJava,modified at least once
0.33,0,yes,lastSLOC_with_revisions,sonarqube,modified at least once
0.29,0,yes,lastSLOC_with_revisions,soot,modified at least once
0.14,0.001679939373,yes,lastSLOC_with_revisions,spark,modified at least once
0.23,0,yes,lastSLOC_with_revisions,spring-framework,modified at least once
0.16,1.43E-20,yes,lastSLOC_with_revisions,swagger-core,modified at least once
0.15,1.33E-24,yes,lastSLOC_with_revisions,truth,modified at least once
0.18,3.05E-35,yes,lastSLOC_with_revisions,Twitter4J,modified at least once
0.29,1.59E-150,yes,lastSLOC_with_revisions,voldemort,modified at least once
0.34,8.87E-75,yes,lastSLOC_with_revisions,vraptor4,modified at least once
0.28,0,yes,lastSLOC_with_revisions,wildfly,modified at least once
0.25,2.16E-251,yes,lastSLOC_with_revisions,ant,modified at least once
0.25,1.97E-232,yes,lastSLOC_with_revisions,checkstyle,modified at least once
0.11,3.12E-13,yes,lastSLOC_with_revisions,commons-io,modified at least once
0.1,1.65E-27,yes,lastSLOC_with_revisions,commons-lang,modified at least once
0.23,1.41E-90,yes,lastSLOC_with_revisions,cucumber-jvm,modified at least once
0.02,5.19E-06,yes,lastSLOC_with_revisions,docx4j,modified at least once
0.3,2.80E-95,yes,lastSLOC_with_revisions,fastjson,modified at least once
0.07,0.0004696242222,yes,lastSLOC_with_revisions,gson,modified at least once
0.23,0.00E-02,yes,lastSLOC_with_revisions,hibernate-search,modified at least once
0.18,1.56E-153,yes,lastSLOC_with_revisions,javaparser,modified at least once
0.28,2.51E-252,yes,lastSLOC_with_revisions,jgit,modified at least once
0.05,0.0008061160864,yes,lastSLOC_with_revisions,jna,modified at least once
0.18,2.78E-35,yes,lastSLOC_with_revisions,junit4,modified at least once
0.17,2.23E-62,yes,lastSLOC_with_revisions,junit5,modified at least once
0.03,0.00929227103,yes,lastSLOC_with_revisions,mockito,modified at least once
0.2,3.81E-65,yes,lastSLOC_with_revisions,okhttp,modified at least once
0.2,2.72E-223,yes,lastSLOC_with_revisions,pmd,modified at least once
0.25,0,yes,lastSLOC_with_revisions,spring-boot,modified at least once
0.32,1.16E-64,yes,lastSLOC_with_revisions,titan,modified at least once
0.09,1.11E-54,yes,lastSLOC_with_revisions,wicket,modified at least once
0.24,6.09E-57,yes,medianSLOC_with_bugs,antlr4,modified at least once
-0.06,3.14E-20,yes,medianSLOC_with_bugs,assertj-core,modified at least once
0.08,5.63E-08,yes,medianSLOC_with_bugs,astyanax,modified at least once
0.32,6.58E-75,yes,medianSLOC_with_bugs,atmosphere,modified at least once
0.2,3.68E-238,yes,medianSLOC_with_bugs,drill,modified at least once
0.23,4.50E-232,yes,medianSLOC_with_bugs,DSpace,modified at least once
0.36,1.82E-119,yes,medianSLOC_with_bugs,Essentials,modified at least once
0.23,0,yes,medianSLOC_with_bugs,flink,modified at least once
0.23,6.61E-33,yes,medianSLOC_with_bugs,flyway,modified at least once
0.18,2.23E-249,yes,medianSLOC_with_bugs,guava,modified at least once
0.2,3.75E-15,yes,medianSLOC_with_bugs,hawtio,modified at least once
0.26,1.24E-31,yes,medianSLOC_with_bugs,hector,modified at least once
0.17,0,yes,medianSLOC_with_bugs,hibernate-orm,modified at least once
0.26,3.33E-39,yes,medianSLOC_with_bugs,Hystrix,modified at least once
0.27,0,yes,medianSLOC_with_bugs,jetty.project,modified at least once
0.12,1.18E-45,yes,medianSLOC_with_bugs,logging-log4j2,modified at least once
0.13,2.60E-18,yes,medianSLOC_with_bugs,lombok,modified at least once
0.14,1.14E-58,yes,medianSLOC_with_bugs,mongo-java-driver,modified at least once
0.26,3.45E-118,yes,medianSLOC_with_bugs,mybatis-3,modified at least once
0.25,3.91E-306,yes,medianSLOC_with_bugs,netty,modified at least once
0.18,6.04E-106,yes,medianSLOC_with_bugs,openmrs-core,modified at least once
-0.03,0.09917664645,no,medianSLOC_with_bugs,rabbitmq-java-client,modified at least once
-0.02,0.01425017817,yes,medianSLOC_with_bugs,RxJava,modified at least once
0.16,3.08E-305,yes,medianSLOC_with_bugs,sonarqube,modified at least once
0.04,6.73E-15,yes,medianSLOC_with_bugs,soot,modified at least once
0.14,0.002684856084,yes,medianSLOC_with_bugs,spark,modified at least once
0.13,2.15E-271,yes,medianSLOC_with_bugs,spring-framework,modified at least once
0.21,1.19E-29,yes,medianSLOC_with_bugs,swagger-core,modified at least once
0.13,2.70E-15,yes,medianSLOC_with_bugs,truth,modified at least once
0.31,2.68E-80,yes,medianSLOC_with_bugs,Twitter4J,modified at least once
0.15,4.32E-39,yes,medianSLOC_with_bugs,voldemort,modified at least once
0.25,2.11E-36,yes,medianSLOC_with_bugs,vraptor4,modified at least once
0.22,0,yes,medianSLOC_with_bugs,wildfly,modified at least once
0.15,1.91E-80,yes,medianSLOC_with_bugs,ant,modified at least once
0.18,5.60E-109,yes,medianSLOC_with_bugs,checkstyle,modified at least once
0.06,9.51E-05,yes,medianSLOC_with_bugs,commons-io,modified at least once
0.13,8.82E-38,yes,medianSLOC_with_bugs,commons-lang,modified at least once
0.18,2.06E-45,yes,medianSLOC_with_bugs,cucumber-jvm,modified at least once
0.14,3.35E-138,yes,medianSLOC_with_bugs,docx4j,modified at least once
0.17,5.82E-30,yes,medianSLOC_with_bugs,fastjson,modified at least once
0.11,5.19E-07,yes,medianSLOC_with_bugs,gson,modified at least once
0.14,3.74E-96,yes,medianSLOC_with_bugs,hibernate-search,modified at least once
0.06,9.31E-18,yes,medianSLOC_with_bugs,javaparser,modified at least once
-0.07,1.29E-15,yes,medianSLOC_with_bugs,jgit,modified at least once
0.17,2.01E-32,yes,medianSLOC_with_bugs,jna,modified at least once
0.16,7.92E-22,yes,medianSLOC_with_bugs,junit4,modified at least once
0.14,6.10E-33,yes,medianSLOC_with_bugs,junit5,modified at least once
0.08,9.22E-11,yes,medianSLOC_with_bugs,mockito,modified at least once
0.27,1.12E-93,yes,medianSLOC_with_bugs,okhttp,modified at least once
0.2,6.56E-193,yes,medianSLOC_with_bugs,pmd,modified at least once
0.13,2.04E-113,yes,medianSLOC_with_bugs,spring-boot,modified at least once
0.28,3.24E-44,yes,medianSLOC_with_bugs,titan,modified at least once
0.07,1.42E-28,yes,medianSLOC_with_bugs,wicket,modified at least once
0.3,2.96E-104,yes,medianSLOC_with_revisions,antlr4,modified at least once
0.08,8.33E-32,yes,medianSLOC_with_revisions,assertj-core,modified at least once
0.15,4.69E-28,yes,medianSLOC_with_revisions,astyanax,modified at least once
0.35,8.64E-91,yes,medianSLOC_with_revisions,atmosphere,modified at least once
0.23,0,yes,medianSLOC_with_revisions,drill,modified at least once
0.28,0,yes,medianSLOC_with_revisions,DSpace,modified at least once
0.4,4.45E-164,yes,medianSLOC_with_revisions,Essentials,modified at least once
0.29,0,yes,medianSLOC_with_revisions,flink,modified at least once
0.29,8.36E-51,yes,medianSLOC_with_revisions,flyway,modified at least once
0.03,5.77E-10,yes,medianSLOC_with_revisions,guava,modified at least once
0.29,1.99E-33,yes,medianSLOC_with_revisions,hawtio,modified at least once
0.31,5.24E-52,yes,medianSLOC_with_revisions,hector,modified at least once
0.1,4.93E-133,yes,medianSLOC_with_revisions,hibernate-orm,modified at least once
0.37,4.60E-92,yes,medianSLOC_with_revisions,Hystrix,modified at least once
0.34,0,yes,medianSLOC_with_revisions,jetty.project,modified at least once
0.24,2.46E-208,yes,medianSLOC_with_revisions,logging-log4j2,modified at least once
0.22,9.54E-60,yes,medianSLOC_with_revisions,lombok,modified at least once
0.18,1.35E-118,yes,medianSLOC_with_revisions,mongo-java-driver,modified at least once
0.31,1.35E-178,yes,medianSLOC_with_revisions,mybatis-3,modified at least once
0.25,0,yes,medianSLOC_with_revisions,netty,modified at least once
0.28,0,yes,medianSLOC_with_revisions,openmrs-core,modified at least once
0.23,1.80E-46,yes,medianSLOC_with_revisions,rabbitmq-java-client,modified at least once
0.07,1.01E-14,yes,medianSLOC_with_revisions,RxJava,modified at least once
0.34,0,yes,medianSLOC_with_revisions,sonarqube,modified at least once
0.3,0,yes,medianSLOC_with_revisions,soot,modified at least once
0.16,0.0003512539547,yes,medianSLOC_with_revisions,spark,modified at least once
0.23,0,yes,medianSLOC_with_revisions,spring-framework,modified at least once
0.16,2.45E-22,yes,medianSLOC_with_revisions,swagger-core,modified at least once
0.15,3.44E-26,yes,medianSLOC_with_revisions,truth,modified at least once
0.2,2.70E-41,yes,medianSLOC_with_revisions,Twitter4J,modified at least once
0.29,1.87E-151,yes,medianSLOC_with_revisions,voldemort,modified at least once
0.35,1.40E-80,yes,medianSLOC_with_revisions,vraptor4,modified at least once
0.28,0,yes,medianSLOC_with_revisions,wildfly,modified at least once
0.26,2.71E-275,yes,medianSLOC_with_revisions,ant,modified at least once
0.26,2.15E-244,yes,medianSLOC_with_revisions,checkstyle,modified at least once
0.12,5.58E-15,yes,medianSLOC_with_revisions,commons-io,modified at least once
0.11,1.43E-31,yes,medianSLOC_with_revisions,commons-lang,modified at least once
0.24,1.18E-96,yes,medianSLOC_with_revisions,cucumber-jvm,modified at least once
0.03,1.71E-06,yes,medianSLOC_with_revisions,docx4j,modified at least once
0.32,7.21E-110,yes,medianSLOC_with_revisions,fastjson,modified at least once
0.1,2.87E-06,yes,medianSLOC_with_revisions,gson,modified at least once
0.24,0,yes,medianSLOC_with_revisions,hibernate-search,modified at least once
0.18,5.88E-155,yes,medianSLOC_with_revisions,javaparser,modified at least once
0.29,4.27E-264,yes,medianSLOC_with_revisions,jgit,modified at least once
0.06,2.97E-06,yes,medianSLOC_with_revisions,jna,modified at least once
0.18,9.82E-36,yes,medianSLOC_with_revisions,junit4,modified at least once
0.18,1.19E-65,yes,medianSLOC_with_revisions,junit5,modified at least once
0.04,0.0001630452561,yes,medianSLOC_with_revisions,mockito,modified at least once
0.21,2.00E-75,yes,medianSLOC_with_revisions,okhttp,modified at least once
0.21,1.45E-262,yes,medianSLOC_with_revisions,pmd,modified at least once
0.26,0,yes,medianSLOC_with_revisions,spring-boot,modified at least once
0.35,5.01E-77,yes,medianSLOC_with_revisions,titan,modified at least once
0.08,1.65E-47,yes,medianSLOC_with_revisions,wicket,modified at least once
0.39,8.09E-118,yes,stdSLOC_with_bugs,antlr4,modified at least once
0.2,6.99E-156,yes,stdSLOC_with_bugs,assertj-core,modified at least once
0.37,9.06E-128,yes,stdSLOC_with_bugs,astyanax,modified at least once
0.47,2.93E-134,yes,stdSLOC_with_bugs,atmosphere,modified at least once
0.38,0,yes,stdSLOC_with_bugs,drill,modified at least once
0.31,0,yes,stdSLOC_with_bugs,DSpace,modified at least once
0.44,1.61E-147,yes,stdSLOC_with_bugs,Essentials,modified at least once
0.41,0,yes,stdSLOC_with_bugs,flink,modified at least once
0.49,7.96E-120,yes,stdSLOC_with_bugs,flyway,modified at least once
0.09,2.09E-48,yes,stdSLOC_with_bugs,guava,modified at least once
0.43,2.78E-54,yes,stdSLOC_with_bugs,hawtio,modified at least once
0.4,2.51E-63,yes,stdSLOC_with_bugs,hector,modified at least once
0.2,0,yes,stdSLOC_with_bugs,hibernate-orm,modified at least once
0.39,4.64E-73,yes,stdSLOC_with_bugs,Hystrix,modified at least once
0.27,0,yes,stdSLOC_with_bugs,jetty.project,modified at least once
0.29,3.15E-197,yes,stdSLOC_with_bugs,logging-log4j2,modified at least once
0.36,2.34E-108,yes,stdSLOC_with_bugs,lombok,modified at least once
0.3,3.10E-223,yes,stdSLOC_with_bugs,mongo-java-driver,modified at least once
0.39,1.61E-209,yes,stdSLOC_with_bugs,mybatis-3,modified at least once
0.39,0,yes,stdSLOC_with_bugs,netty,modified at least once
0.28,1.79E-221,yes,stdSLOC_with_bugs,openmrs-core,modified at least once
0.14,2.10E-13,yes,stdSLOC_with_bugs,rabbitmq-java-client,modified at least once
0.3,5.08E-180,yes,stdSLOC_with_bugs,RxJava,modified at least once
0.24,0,yes,stdSLOC_with_bugs,sonarqube,modified at least once
0.22,0,yes,stdSLOC_with_bugs,soot,modified at least once
0.28,6.70E-08,yes,stdSLOC_with_bugs,spark,modified at least once
0.26,0,yes,stdSLOC_with_bugs,spring-framework,modified at least once
0.34,3.78E-64,yes,stdSLOC_with_bugs,swagger-core,modified at least once
0.24,2.68E-44,yes,stdSLOC_with_bugs,truth,modified at least once
0.39,6.00E-106,yes,stdSLOC_with_bugs,Twitter4J,modified at least once
0.33,9.75E-144,yes,stdSLOC_with_bugs,voldemort,modified at least once
0.35,3.16E-59,yes,stdSLOC_with_bugs,vraptor4,modified at least once
0.36,0,yes,stdSLOC_with_bugs,wildfly,modified at least once
0.2,2.59E-114,yes,stdSLOC_with_bugs,ant,modified at least once
0.29,2.30E-213,yes,stdSLOC_with_bugs,checkstyle,modified at least once
0.16,3.27E-18,yes,stdSLOC_with_bugs,commons-io,modified at least once
0.32,2.56E-169,yes,stdSLOC_with_bugs,commons-lang,modified at least once
0.34,2.23E-135,yes,stdSLOC_with_bugs,cucumber-jvm,modified at least once
0.32,0,yes,stdSLOC_with_bugs,docx4j,modified at least once
0.33,1.59E-83,yes,stdSLOC_with_bugs,fastjson,modified at least once
0.17,9.33E-12,yes,stdSLOC_with_bugs,gson,modified at least once
0.24,1.80E-219,yes,stdSLOC_with_bugs,hibernate-search,modified at least once
0.33,0,yes,stdSLOC_with_bugs,javaparser,modified at least once
0.07,9.77E-14,yes,stdSLOC_with_bugs,jgit,modified at least once
0.31,1.68E-82,yes,stdSLOC_with_bugs,jna,modified at least once
0.33,2.54E-73,yes,stdSLOC_with_bugs,junit4,modified at least once
0.25,3.38E-85,yes,stdSLOC_with_bugs,junit5,modified at least once
0.37,2.24E-180,yes,stdSLOC_with_bugs,mockito,modified at least once
0.41,1.20E-177,yes,stdSLOC_with_bugs,okhttp,modified at least once
0.43,0,yes,stdSLOC_with_bugs,pmd,modified at least once
0.28,0,yes,stdSLOC_with_bugs,spring-boot,modified at least once
0.32,7.42E-52,yes,stdSLOC_with_bugs,titan,modified at least once
0.31,0,yes,stdSLOC_with_bugs,wicket,modified at least once
0.53,7.14E-253,yes,stdSLOC_with_revisions,antlr4,modified at least once
0.34,0,yes,stdSLOC_with_revisions,assertj-core,modified at least once
0.52,5.41E-280,yes,stdSLOC_with_revisions,astyanax,modified at least once
0.6,6.15E-225,yes,stdSLOC_with_revisions,atmosphere,modified at least once
0.55,0,yes,stdSLOC_with_revisions,drill,modified at least once
0.53,0,yes,stdSLOC_with_revisions,DSpace,modified at least once
0.63,0,yes,stdSLOC_with_revisions,Essentials,modified at least once
0.52,0,yes,stdSLOC_with_revisions,flink,modified at least once
0.58,1.07E-167,yes,stdSLOC_with_revisions,flyway,modified at least once
0.39,0,yes,stdSLOC_with_revisions,guava,modified at least once
0.53,1.12E-88,yes,stdSLOC_with_revisions,hawtio,modified at least once
0.58,1.79E-151,yes,stdSLOC_with_revisions,hector,modified at least once
0.29,0,yes,stdSLOC_with_revisions,hibernate-orm,modified at least once
0.61,3.02E-211,yes,stdSLOC_with_revisions,Hystrix,modified at least once
0.57,0,yes,stdSLOC_with_revisions,jetty.project,modified at least once
0.43,0,yes,stdSLOC_with_revisions,logging-log4j2,modified at least once
0.47,1.39E-211,yes,stdSLOC_with_revisions,lombok,modified at least once
0.48,0,yes,stdSLOC_with_revisions,mongo-java-driver,modified at least once
0.42,2.49E-259,yes,stdSLOC_with_revisions,mybatis-3,modified at least once
0.53,0,yes,stdSLOC_with_revisions,netty,modified at least once
0.46,0,yes,stdSLOC_with_revisions,openmrs-core,modified at least once
0.52,2.64E-187,yes,stdSLOC_with_revisions,rabbitmq-java-client,modified at least once
0.38,0,yes,stdSLOC_with_revisions,RxJava,modified at least once
0.52,0,yes,stdSLOC_with_revisions,sonarqube,modified at least once
0.5,0,yes,stdSLOC_with_revisions,soot,modified at least once
0.41,1.10E-16,yes,stdSLOC_with_revisions,spark,modified at least once
0.46,0,yes,stdSLOC_with_revisions,spring-framework,modified at least once
0.45,7.56E-137,yes,stdSLOC_with_revisions,swagger-core,modified at least once
0.42,3.46E-154,yes,stdSLOC_with_revisions,truth,modified at least once
0.49,1.57E-206,yes,stdSLOC_with_revisions,Twitter4J,modified at least once
0.62,0,yes,stdSLOC_with_revisions,voldemort,modified at least once
0.58,3.83E-185,yes,stdSLOC_with_revisions,vraptor4,modified at least once
0.57,0,yes,stdSLOC_with_revisions,wildfly,modified at least once
0.48,0,yes,stdSLOC_with_revisions,ant,modified at least once
0.4,0,yes,stdSLOC_with_revisions,checkstyle,modified at least once
0.42,2.56E-125,yes,stdSLOC_with_revisions,commons-io,modified at least once
0.39,4.73E-298,yes,stdSLOC_with_revisions,commons-lang,modified at least once
0.5,0,yes,stdSLOC_with_revisions,cucumber-jvm,modified at least once
0.24,0,yes,stdSLOC_with_revisions,docx4j,modified at least once
0.61,2.80E-305,yes,stdSLOC_with_revisions,fastjson,modified at least once
0.49,4.76E-95,yes,stdSLOC_with_revisions,gson,modified at least once
0.46,0,yes,stdSLOC_with_revisions,hibernate-search,modified at least once
0.43,0,yes,stdSLOC_with_revisions,javaparser,modified at least once
0.54,0,yes,stdSLOC_with_revisions,jgit,modified at least once
0.43,1.40E-171,yes,stdSLOC_with_revisions,jna,modified at least once
0.4,8.80E-131,yes,stdSLOC_with_revisions,junit4,modified at least once
0.4,4.84E-280,yes,stdSLOC_with_revisions,junit5,modified at least once
0.5,0,yes,stdSLOC_with_revisions,mockito,modified at least once
0.52,0,yes,stdSLOC_with_revisions,okhttp,modified at least once
0.51,0,yes,stdSLOC_with_revisions,pmd,modified at least once
0.43,0,yes,stdSLOC_with_revisions,spring-boot,modified at least once
0.53,5.54E-155,yes,stdSLOC_with_revisions,titan,modified at least once
0.39,0,yes,stdSLOC_with_revisions,wicket,modified at least once
0.08,3.54E-11,yes,versionedSLOC_with_bugs,antlr4,modified at least once
0.05,1.35E-08,yes,versionedSLOC_with_bugs,assertj-core,modified at least once
-0.06,6.96E-07,yes,versionedSLOC_with_bugs,astyanax,modified at least once
0.04,0.003361900251,yes,versionedSLOC_with_bugs,atmosphere,modified at least once
0.06,4.24E-28,yes,versionedSLOC_with_bugs,drill,modified at least once
0.02,0.001941984196,yes,versionedSLOC_with_bugs,DSpace,modified at least once
0.16,2.69E-38,yes,versionedSLOC_with_bugs,Essentials,modified at least once
0.08,4.99E-67,yes,versionedSLOC_with_bugs,flink,modified at least once
-0.02,0.3230433711,no,versionedSLOC_with_bugs,flyway,modified at least once
0.11,2.30E-80,yes,versionedSLOC_with_bugs,guava,modified at least once
0.01,0.8136356375,no,versionedSLOC_with_bugs,hawtio,modified at least once
0.14,1.82E-14,yes,versionedSLOC_with_bugs,hector,modified at least once
0.12,5.52E-182,yes,versionedSLOC_with_bugs,hibernate-orm,modified at least once
0.11,4.98E-13,yes,versionedSLOC_with_bugs,Hystrix,modified at least once
0.09,3.26E-60,yes,versionedSLOC_with_bugs,jetty.project,modified at least once
0.06,8.44E-17,yes,versionedSLOC_with_bugs,logging-log4j2,modified at least once
0.04,0.0008644898037,yes,versionedSLOC_with_bugs,lombok,modified at least once
0.02,0.001163250156,yes,versionedSLOC_with_bugs,mongo-java-driver,modified at least once
0.18,4.20E-37,yes,versionedSLOC_with_bugs,mybatis-3,modified at least once
0.1,1.19E-56,yes,versionedSLOC_with_bugs,netty,modified at least once
0.08,4.61E-29,yes,versionedSLOC_with_bugs,openmrs-core,modified at least once
-0.07,4.31E-05,yes,versionedSLOC_with_bugs,rabbitmq-java-client,modified at least once
-0.06,3.33E-11,yes,versionedSLOC_with_bugs,RxJava,modified at least once
0.06,2.21E-54,yes,versionedSLOC_with_bugs,sonarqube,modified at least once
0.2,5.13E-168,yes,versionedSLOC_with_bugs,soot,modified at least once
-0.01,0.8188510354,no,versionedSLOC_with_bugs,spark,modified at least once
0.07,7.66E-71,yes,versionedSLOC_with_bugs,spring-framework,modified at least once
0.1,1.40E-13,yes,versionedSLOC_with_bugs,swagger-core,modified at least once
0.02,0.1943580845,no,versionedSLOC_with_bugs,truth,modified at least once
0.12,1.22E-18,yes,versionedSLOC_with_bugs,Twitter4J,modified at least once
-0.03,0.001110191766,yes,versionedSLOC_with_bugs,voldemort,modified at least once
0.12,5.83E-14,yes,versionedSLOC_with_bugs,vraptor4,modified at least once
0.08,4.01E-74,yes,versionedSLOC_with_bugs,wildfly,modified at least once
0.11,3.78E-47,yes,versionedSLOC_with_bugs,ant,modified at least once
0.13,4.58E-56,yes,versionedSLOC_with_bugs,checkstyle,modified at least once
0,0.9144872895,no,versionedSLOC_with_bugs,commons-io,modified at least once
0.1,6.54E-19,yes,versionedSLOC_with_bugs,commons-lang,modified at least once
0.04,0.001945972113,yes,versionedSLOC_with_bugs,cucumber-jvm,modified at least once
0.15,9.88E-93,yes,versionedSLOC_with_bugs,docx4j,modified at least once
0.06,2.20E-05,yes,versionedSLOC_with_bugs,fastjson,modified at least once
